"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CMSS11",4.428582923453e-292,0.508008952346746,0.489,0.308,3.95636312632521e-287,"8","CMSS1"
"TLE5",6.40352381463266e-292,0.311471398839528,0.389,0.195,5.72071607027838e-287,"8","TLE5"
"ATP11B2",7.16982794700263e-292,0.341522786012251,0.534,0.329,6.40530919301374e-287,"8","ATP11B"
"UBR42",1.74330027892308e-291,0.384664623657358,0.483,0.294,1.55741217018151e-286,"8","UBR4"
"PTPN12",3.85048754138268e-291,0.48587553124586,0.523,0.341,3.43991005484505e-286,"8","PTPN12"
"ZCCHC2",1.29780088165809e-290,0.403398407473473,0.354,0.186,1.15941637364689e-285,"8","ZCCHC2"
"AP4E1",2.35664504258969e-290,0.314643690181175,0.263,0.115,2.10535598169835e-285,"8","AP4E1"
"ZRANB21",5.12767479818434e-290,0.404609992409045,0.7,0.536,4.58091083445395e-285,"8","ZRANB2"
"XRCC4",5.70790393860986e-290,0.395684700117552,0.26,0.115,5.09927014163589e-285,"8","XRCC4"
"RESF1",1.44440773178344e-289,0.335989857308404,0.267,0.116,1.29039053534337e-284,"8","RESF1"
"CSE1L",3.32669024716101e-289,0.346276733230445,0.347,0.178,2.97196526610623e-284,"8","CSE1L"
"SCFD11",9.95354258776503e-289,0.462114575660257,0.546,0.367,8.89219634163164e-284,"8","SCFD1"
"MFSD8",1.72271806753557e-288,0.281788371077266,0.291,0.132,1.53902463999425e-283,"8","MFSD8"
"FOXK22",2.76422093154611e-288,0.333454201110247,0.414,0.225,2.46947205361534e-283,"8","FOXK2"
"KDM1A1",4.6867571118443e-288,0.397213580201834,0.487,0.298,4.18700820100834e-283,"8","KDM1A"
"SUN11",2.15558840600783e-287,0.376034107750018,0.659,0.462,1.92573801427522e-282,"8","SUN1"
"ATG4B1",4.56961083301977e-287,0.348565034389397,0.431,0.245,4.08235322989487e-282,"8","ATG4B"
"BICD22",8.81214078671992e-287,0.4045661892412,0.468,0.282,7.87250221463197e-282,"8","BICD2"
"SPTBN21",1.07023052538507e-286,0.269339007713692,0.395,0.201,9.56111844463263e-282,"8","SPTBN2"
"NFXL1",1.7645098910993e-286,0.319812604441954,0.275,0.124,1.57636020141138e-281,"8","NFXL1"
"LRP61",1.81623145168044e-286,0.299176883057374,0.302,0.14,1.62256669198775e-281,"8","LRP6"
"THUMPD2",2.32391442636755e-286,0.326519450496678,0.319,0.156,2.07611543108398e-281,"8","THUMPD2"
"METAP1",7.07784924490174e-286,0.359008716825009,0.355,0.186,6.32313817991787e-281,"8","METAP1"
